name,stars,title,review
sachin tc,4.0 out of 5 stars,Good performance,"Battery backup is great, overall performance is also good."
abhishek kashyap,5.0 out of 5 stars,Value for money,"Pro1.Battery : more than 15hr in day to day software development use.2. Exilent performance3. Best build quality4. Instant open5. Most secure6. Trackpad you will love itcons:1. M1 chip not support all the software.( It will improve with time).2. Keyboard ( It sucks. specially if you are typing for long time. No key travel)3. Ram (Go for for 16gb I have done this mistake. It will help you on longer run)4. If you are planning to do longer work like ( Video editing, Machine Learning or Deep learning) It will heat a lot ( Go for pro version )5. you have to buy office :)"
Shantam,5.0 out of 5 stars,It’s amazing,
Anu,4.0 out of 5 stars,Good one,"Good computer, but the weight and booting time are more than expected."
Himanshu Kataria,5.0 out of 5 stars,"Battery Backup is superb, good for Software Developers","The media could not be loaded.  It's serving its purpose that's more than enough for me.Screen Quality is Superb.Really Loved the Sound.I read some bad reviews, I was worried but It's a great deal overall, I don't face any issues yet.Also, I confirmed with Apple with Warranty and all that stuff, everything is alright.Recently bought Portronics M31c and it's serving it's purpose well.Most importantly I got it for 79k"
Amit Subodh,5.0 out of 5 stars,You can't ask for more,The M1 Chip has brought a revolution in the Apple Eco System. MacBook Air has been my favorite product I have been using it since 2016 when decided to upgrade it after my system started slowing down during multi task. The new laptop gives me satisfaction and value for money. Hope it stays with me for the next 5 years.
Abhisek Dhar,4.0 out of 5 stars,No doubt its a good laptop,"The Macbook Air 2020 with M1 Chip is definitely a great laptop to buy for personal usage. Its a premium quality machine with great aesthetics and immensely powered by the M1 chip. However, I was a bit disheartened when I came to know that lots of applications have blocked the M1 chip and you cannot install them in this machine (like Instagram, Netflix etc). Overall it might look a costly one to buy, but if you are okay with MacOS then this is the best thing that comes in 93,000 INR. Dell XPS with similar configuration is costlier than this. Go check youtube reviews for this machine to know more in details. Its your hard-earned money so make sure you invest in the right stuff."
Basil .V. Eldho,5.0 out of 5 stars,Best laptop at 95k,It is the best laptop at this price point=》Best battery life=》Best performance=》Slim and lightweight=》Good display=》Good Keyboard and trackpad=>best laptop for Students and ProgrammersThe 3 downside about the M1 MacBook air is=》It doesn't support windows with boot camp=》 Inbuilt Webcam 720 p is not as good=》It has only 2 USB C ports and a headphones jack ( no USB A port and no HDMI port)
raj ku,4.0 out of 5 stars,All good things could not be possible..,"Good laptop, but MS Excel do not work as compared to windows OS. Alt shortcuts do not works through Mac OS, that irretate me a lot..Good sound, display, build, aluminium body,,,"
Shikha Sharma,5.0 out of 5 stars,Wonderful product. Just go for it,Awesome products. Unbelievably fast and responsive. It would take a day or two to get accustomed if you are moving from windows to mac.
KARAN SHAH,4.0 out of 5 stars,You have to spend INR 8 to 10K extra on MS office and a port C Hub.,"Excellent machine! The battery life is better than your mobile phone 8hrs on heavy usage 12hrs on medium and more on just light usage.But you have to spend extra on USB type C Hub for more ports. This is a big draw back and you have to buy MS office separately. Just include it into your budget.Need not to go for 16GB RAM even for video editing or gaming. 8GB works great and there is no heating issue at all, save your bucks. Best among the lot. In today's date M1 processor is the best as per the performance and wattage consumption.I will recommend it."
Nitesh,5.0 out of 5 stars,Amazing product,"I was a bit hesitant to switch from Windows to Mac, however, the transition has been seamless. The user interface and software optimization is excellent. Absolutely loved it!!!"
Anindya,5.0 out of 5 stars,A good upgrade from my 7 year old MCB Air 11 inch.,"The upgrade was pretty long overdue. Got at a very good price due to the festive season and got decent exchange price for my 7 year old MCB air 11 inch. Had to spend around 10 K for additional accessories to switch from USB A to USB C, and another 8 K for the new office. So the overall cost of ownership is close to a lakh. This will last for quite a while so every penny worth it."
Arjun,5.0 out of 5 stars,Day 1 of having the macbook air- Excellent Laptop,"Pros:Excellent built qualityThin and lightFast processorSharing with my apple phone is a delightEverything good about appleCons:Connectors - only 2 type c ports on this, needs to buy a connector deviceNoticed a bit of heat while editing a 4GB video footage.Needs a little bit adapting if migrating from a windows ecosystem"
Amazon Customer,5.0 out of 5 stars,Awesome…!,"This is my first MacBook. I am not a video editor or software professional. So can speak about the design and overall performance only. It’s good enough for my daily office works and browsing. Only thing I required was office tools like excel, word and PowerPoint, that was not there but I purchased office 365 and managed it. I think response time is pretty more comparing to my previous HP intel i5 10th gen. but overall it’s good looking and very handy. Battery life is excellent no words to say, similarly video clarity and sound is also awesome. Apple was dream for me and now I owned it."
Amazon Customer,5.0 out of 5 stars,The battery is insane 🔋,"I am not a programmer or a graphic designer but I needed this for coursework and statistical analysis. The battery seems to be everlasting and I charge it once in 2 days and even that is super fast. The weight is light and the ergonomics is great. The MacBook interface is just great and you won’t regret this purchase. It took me a day to get used to it, being a previous Windows user but everyday I discover new hidden features and it’s great. Don’t buy it to show off but buy it for the absolute workhorse that it is."
Pranay Sarkar,5.0 out of 5 stars,One of its kind,"The best laptop below 1 lakh, if you don't game. That's it. Superb display, out of the world battery. In my three charges, it went 16, 12 and 15 hours respectively. That's insane. It's blazing fast in everything. Almost every app now supports native M1 chip.Apple has done a wonderful job, and it's completely value-for-momey."
Deepak Kr Tiwari,4.0 out of 5 stars,Battery life is great,I love this products battery. It will be use 18 hrs continuously for coding purpose without playing any songs or movie.
Amitabh D,5.0 out of 5 stars,"Fantastic laptop, slightly expensive in India.","The speed with which native apps open is amazing, the battery life is fantastic.You will need to spend more money on the right connectors etc, especially if you want a desktop setup. My Thunderbolt 2 monitor has a lot of USB-A ports to connect my mouse and keyboard and all I had to get was the (rather expensive) Apple Thunderbolt 3 to Thunderbolt 2 connector for Rs 4,500 (which I paid for with my Amazon Card cashback). There are no third-party options. Made more sense (given my needs) than spending Rs 6,000+ on a flimsy USB-C hub or Rs 12,000 on a USB-C dock like the Dell D6000. Thunderbolt docks in India are overpriced and unnecessary if you don't need the speed."
kishan raj,5.0 out of 5 stars,Revolutionary ahead from any other laptop...,"Screen quality is more than superb...camera quality is not great but better than any other laptop in this price range...and i am completely happy with battery life, remember its not gaming laptop..if you are planning to buy a laptop in 70k range , spend some money extra and buy this product."
suriya prakash,1.0 out of 5 stars,Issue raising exactly after warranty period,"Since the warranty expired, i have been facing heatness issue. While using the Mac, the heat is getting increased. Even the charger adapter is also getting hot, while charging. Now because of the overheat, l the camera is affected. The camera is not opening. I approached online Apple service center, after initial diagnosis, they told to visit the the center in person.Is it designed in such way that the issue has to occur after the warranty period?"
Ankita,5.0 out of 5 stars,MacBook Air,"Everything about the product is just so premium battery last for 3-4days depending on the work u do I have being watching IPL matches as well and doing my usual email stuff along with Netflix prime and Hotstar, overall a great product value for money"
k v.,5.0 out of 5 stars,"super product operating system very speed comparing to old macbooks, battery backup very good",value based buying improved performance compared to old macbooks
Rituparna Paul,5.0 out of 5 stars,Worth investing!,It is worth investing in MAC because it gives whole new experience of using a laptop.
BINAY KHOLIYA,5.0 out of 5 stars,Nice product.....,"First....I was getting nervous ...should I buy from amazon or from store.....finally made decision and ordered from amazon......Its 100% original product...I have chacked everything, every youtube trick to find that the product is genuine or not....It's 100% original product and got every benefits like 1 year warranty and apple care service......"
senthil kumar,4.0 out of 5 stars,Mac book air M1 review post 2 weeks of usage,"Well this is my first mac book!It's been more than 2 weeks! So far I have no complaints. Laptop boots up within 10 secs, battery life lasts more than 3 days. I have been doing basic stuff like browsing, connecting my ssd to transfers and watching movies to videos. I am not sure if its worth the money though as its pretty expensive for the basic model which is 86900 inr. As we know already its a fan less model, it literally has zero noise, it's gets very little warm on the surface after and hour or two of usage. Will give an complete review post 2 months."
Swati Sood,1.0 out of 5 stars,DEFECTIVE ITEM DELIVERED. STOPPED WORKING bs IN 2 HRS.,DEFECTIVE ITEM DELIVERED. STOPPED WORKING IN 2 HRS. Went to APPLE service center to get it checked. They told a defective item has been sold to you with hardware damage. When contacted seller and AMAZON for support Amazon refused to replace despite their being a 7 day replacement guarantee and all valid documents provided by Apple service center stating defective item. NEVER BUY ELECTRONICS FROM AMAZON. Go to a physical store. It might be expensive but won’t be defective. Amazon won’t help you at all after it has sold the product. They won’t even take your calls. Saying from personal experience.
Supriyo,4.0 out of 5 stars,Loved it,Extremely light and slim in size. Display is truly amazing. Best battery life. Loved it. ❤️
David krupa Sagar,4.0 out of 5 stars,Apple's best in base variant!,It is obviously the best in this segment far better than any other widows laptop you have used.
DURGA SHANKAR AVASTHI,5.0 out of 5 stars,It's just awesome one word is enough ..,"It's just awesome one word is enough ..I moved from windows to mac , so it was difficult to understand but after 1 day it was just superb.But about the heating I cnt say much now will update review once in summer condition .But battery Is more than enough, Works like makkhan"
Harsh,5.0 out of 5 stars,Great Product,"Has been 3 months. So far looks good. No Lag, using multiple apps at a time for coding. Battery lasts around 8-10 hours on wifi + youtube + ~6 chrome tabs + vscode all way.Possible cons:Battery is great but lasts less than Macbook ProKeyboard seems of low quality"
Rahul,3.0 out of 5 stars,Turns out 8 GB ram isn't good enough for heavy programming,I got 512gb/8gb macbook air for mostly programming and development related tasks. But it's not good enough to handle multiple applications. I run chrome and intellij simultaneously and it hangs too much. The worst thing is you can't even upgrade your ram. Frustrated.
Vijay Mahajan,4.0 out of 5 stars,A sleek nice laptop,Don’t us it for gaming
YajiV,5.0 out of 5 stars,Amazing Laptop,"Pros:- Battery Life - No other laptop with this form factor comes near to this one.- Performance - With the M1 Chip processor from Apple, Software and Hardware work together like magic.- No Fan for cooling the processor, so super silent.- Compact and lightweight.- Mac OSCons:- Normal limitations related to Mac OS (For example, gaming).Recommendation:The best Apple laptop period. Go for it if you are not a gamer or dependent on software exclusive to windows."
Dibyamohan  panda,5.0 out of 5 stars,Absolutely Beast For Programmers,"Such a Great Purchase After a long time waiting, Really Value for many Product."
Moinak C.,5.0 out of 5 stars,Best laptop in the market today!,The M1 based MacBook Air is simply the best laptop you can buy right now. With the MacBook Pro also using the M1 it's the first time in years that the Air's specs are almost identical to the Pro's at a much lower price point. For those worried most common applications like Chrome are already available native for M1. Other non native apps also work flawlessly.Pros:1. Noiseless2. High screen clarity3. Battery life of 3-5 days on average use4. Very light5. Fingerprint sensor6. Keyboard is so nice you feel like typing moreCons:1. Not a big fan of true tone but you can always turn it off
kotipalli kesavarao,5.0 out of 5 stars,Best laptop in this budget range,"Got delivered within 6 hours and I got it at excellent price, 60000 Rs only. I have exchanged a 10 years old mac book pro and applied bank offers and got it for flat 60K.Best in class performance."
Placeholder,4.0 out of 5 stars,base storage should be 512gb and base ram should be 16gb for the price.,base storage should be 512gb. And base ram should be 16gb for pricey device like macbook. Apple needs to move macbook Air manufacturing to India like iphone.
Shubham Kumar singh ,4.0 out of 5 stars,Go for it,As accepted
pratik,5.0 out of 5 stars,Awesome macbook,The m1 macbook is really fast
ANUPAM MITTAL,3.0 out of 5 stars,Missing accessories,"Box received unsealed, Charging adapter and charging cable is missing from the box."
Aniket V.,5.0 out of 5 stars,Spectacular!,"The best laptop I have ever used! I switched from windows to apple for the very first time. And it was worth it. This piece begs you to keep working! The most significant plus point is definitely battery life. I charged it on one Saturday night and with daily usage of nearly 1-2 hours of YouTube and coding, till next Sunday it was at 19%. Just mind-blowing!Display is awesome, sound is awesome too!Definitely worth it"
Venkat,5.0 out of 5 stars,No words,Close your eyes and buy this MacBook Air rose gold and the colour is simply outstanding
Girish k,5.0 out of 5 stars,THE BEST ONE,"This laptop I've got it for 75k with HDFC offers, which is the best deal. Also, battery backup is simply amazing and with rest of the device am sure all by now know it has an awesome screen. However the only expectation is apple to quickly load apps customized to M1 into their store or atleast most used ones. Overall build quality is 10/10, screen 10/10, performance 10/10, support 9/10, battery 10/10, sound quality 8/10, value for money 9/10."
Pratham bhat,5.0 out of 5 stars,Amazing,This product was delivered in only one day and with the M1 chip this the fastest laptop I have ever used go for it without a second choice
Shubhajit Das,5.0 out of 5 stars,Good job amazon,Nice
Arun Ramanathan,5.0 out of 5 stars,Simply the best laptop of 2020 ! Apple has nailed it with the M1 processor :),I have been using the product for the past two weeks or so and literally there is no negative aspect with this product. Only thing which could have been better is the USB ports.Otherwise one could just close your eyes and simply go on for it ! Best price to value laptop for sure !!!
alexabraham,4.0 out of 5 stars,"Good product  i liked, not hange and good for daily use",Good product I liked
Amazon Customer,5.0 out of 5 stars,Worthy to purchase,"I took lot of time to take a decision to invest money on this laptop. Finally, I'm very much happy that it exceeded my expectations.Pros:Good batterySoundDisplayKeyboardCons:Camera quality (But with proper lighting, its not a major issue)Cost of accessories."
SUDIPTA PAIK,5.0 out of 5 stars,Very good without camera,Excellent quality laptop except camera quality.
Prakash Chandra Pathak,5.0 out of 5 stars,M1 chip is so much better than Intel,"The main difference from Intel chip MacBook is that M1 chip MacBook Air is always 3-4 degrees cooler, it gives you better battery life.Also sound quality of this MacBook is amazing.It’s high time Apple did something another the web cam. Compared to any iPhone, MacBook webcam is very primitive!"
munish gaur,5.0 out of 5 stars,Most valuable Laptop,"I was skeptical about the screen 13.3 inch 16:10 size but got used to it quickly. The battery do really lasts more than I expected. Its built very solid. The screen is phenomenal colorful good for photo editing ,sharp, black text looks bit grey. M1 processor makes this laptop sorry macbook very fast . I would recommend to buy it. Through discounts and exchange offer i got base version at 77k."
Raunak Agarwal,1.0 out of 5 stars,TOUCH PAD STOPPED WORKING WITHIN YEAR,Touch pad stopped working after an update apple being apple not surprised.Using with Bluetooth mouse. Better go with other brand than apple (if you are just going to showoff like me personal opinion) .
ravikant,4.0 out of 5 stars,Good not bad,
Shubam Jalotra,5.0 out of 5 stars,Best in its segment.,Best value for money laptop.I got it around 81k(10k bank offer +14.5k exchange offer) with 512gb ssd and 8gb ram.So far satisfied with the product as i use my laptop for coding practices(web and Android application development)
Abhishek Chadda,5.0 out of 5 stars,Power machine,This machine is a beast performance wise. I see a considerable amount of performance and power packed in M1. Loving it..
Pradeep Sharma,5.0 out of 5 stars,Awesome,"Go for it, genuine product thnxx amazon and seller both"
Dharmender Meena,5.0 out of 5 stars,Perfect one,Everything is good
Sartaaj S Sidhu,5.0 out of 5 stars,A Must Buy.,"Nothing is better as far as quality, technology, ease of working and all is concerned when it comes to apple. Really nice . 256 GB very good for normal routine usage."
Hirendra,5.0 out of 5 stars,The best of the lot,"I liked the usability of the laptop, super speedy and pretty"
MohammedAli,5.0 out of 5 stars,Better than M2,
Sachin,5.0 out of 5 stars,Good battery backup,Very good battery backup and according to be better than pro if compared according to price. Using it for coding.
Manish Kumar,4.0 out of 5 stars,Expectation matched reality,"Cons:1. Logo doesn't glow as expected.2. There is no extra 8gb GPU. This is just a false statement used for marketing.Pros:1. Got the expected colour, space grey2. Excellent battery life3. Speaker Sound quality amazing4. Fast processor."
Dhanabal,5.0 out of 5 stars,Excellent Product,Its my dream laptop ...Battery backup is unbelievable compared to windows laptop ...if u can afford it.u can absolutely go for it
Amazon Customer,5.0 out of 5 stars,Best laptop with good performance and light weight,"Pros1. Best performance2. Light weight, can use during traveling3. Screen quality nice4. Sound is above avgConsI cant find it."
SathKa,5.0 out of 5 stars,WTF 😎,WTF Range man..😎
chirag,4.0 out of 5 stars,Good,Camera quality is very poor but overall a good laptop to buy
Annapoorani,5.0 out of 5 stars,As always good,Good one
Peerujagadish,5.0 out of 5 stars,"The  m1 chip , the build and thebattery",The best thing about apple is that it wont compromise on any spec’s. It has a great battery life with 15 hours plus screen on time. Best in its price. I’m very much satisfied with my purchase.
Aditi sharma,5.0 out of 5 stars,Amazing product,I am so happy to get it from here! Got great discounts! Which were not even available on apple stores! Also got silver color! Which was apparently unavailable in Mumbai!
Amazon Customer,5.0 out of 5 stars,I am writing the review after using this MacBook Air M1,"Very good productBattery - For online classes for 8 hours each day, works 2 days! without chargeWeight - Extremely light weight! Easy to carryCamera - Camera quality is excellentKeyboard - Backlight is there and smooth button with sensorTouchpad - very smoothScreen - ClearEverything is good!!Thanks for this product"
Dipak Goswami,5.0 out of 5 stars,Just Fall in love,This is my first step towards appleTruly I love it build quality great performance great speakers are awsome.
ChaliKahani,5.0 out of 5 stars,"Buy it for the battery, live with it cause it's amazig","What can one say, it's a must have for anyone who loves more than 5 feet away from a switch board. Just buy it and get it over with, don't overthink."
Lovish Jain,5.0 out of 5 stars,Value for Money,Probably the only value for money apple product. Just go for it. The best laptop for software developers.
Hemdeep Ray,5.0 out of 5 stars,There is a reason why Apple builds laptops,"There is nothing to dislike about Apple's M1 line. Takes a month or two to get used to all the gestures, especially for a Macbook virgin like me."
Kapil Singh,5.0 out of 5 stars,Best,Perfect Laptop for Students.Cons= No USB PORT
Tirthajyoti Roy,4.0 out of 5 stars,Best battery,But performance is not as expected
KDev,5.0 out of 5 stars,It's value for money,"I am using Macbook M1 - 512GB version for more than 20 days now. I never noticed any heat. I am able to install almost everything I need. HomeBrew, VLC Player, VSCode, Darktable, Docker Preview, Chrome, and many more.iTerm with ohmyzsh no issue at all.node, ruby, python, java(azul jdk), php, elixir, go, typescript, many morenot installed deno as I have to download x-code full(11GB) will do in futurenot installed android studionot installed rustnot installed whatever I didn't install.Spotify, Prime Music were installed for music"
PCZ,4.0 out of 5 stars,Amazon bungled the delivery!,"Apple being Apple, everything is excellent. However, I ordered Spaceport but Amazon delivered Gold. As I got with good discount, I had to live with it."
Azharuddin,5.0 out of 5 stars,Best in the market,"Got it at an effective price of 75k after HDFC smartbuy cashbacks. I never thought of buying it, but if not this I have to opt for the 14nm processors of Intel . After buying, you won't get a reason to regret."
Vinayak,5.0 out of 5 stars,Best for everything except gaming...not due to inability but lack of games,A big steal for the price...So happy for the purchase
suman mishra,5.0 out of 5 stars,Great!!,In 2023 it comes with pre-installed MacOS Ventura 13.2.1 And the garage band also comes with it! greatest of all times
Karthikeyan,5.0 out of 5 stars,The Beast!!!,"The best laptop I have ever used...period!!!awesome battery lifevery good screen resolutionspeakers are fantasticlight weight and portableexcellent performance from M1 chip, so for I have never experienced any heat issue.Great laptop from apple for the 1st time which balanced both performance and money!Good Job Apple!!!!"
sriram sahith d,5.0 out of 5 stars,Best laptop ever I used,Easily the best laptop I have used ever. It’s super fast just as your iPhone.
Anant Singh,5.0 out of 5 stars,Best Performance but Not Value for Money,"The performance, look, design everything is awesome but it is not value for money in 2 Lakhs.I would have purchased buy Macbook Air M1 if had known it earlier as that is a totally worth investment."
Sneha S.,5.0 out of 5 stars,So far good!,"Packing and delivery was good. I had exchanged it with MacBook Pro Mid 2012 model and compared to that model, this MacBook air is super light weight. This is the review based on just opening the package.So more can be made out of this laptop after a month or so."
Navin Kumar,5.0 out of 5 stars,Purchased Macbook Air M1 in 2022,"Enjoying it, especially typing on this one is a pleasure."
Amazon Customer,5.0 out of 5 stars,Excellent product,Excellent product
Vishal Diwase,5.0 out of 5 stars,Most awesome laptop I have used for coding,In my life I have used many laptops but this one has best of all the world. It is light weight handy best battery life best screen quality and optimised ram management. Your training models runs like butter on hot plate. Best investment for me.
Placeholder,5.0 out of 5 stars,Great Product,"It is a great product, works very well for normal work use."
SHALABH SHANU,5.0 out of 5 stars,Satisfied,Great
Vasu Kaushik ,5.0 out of 5 stars,Great,Go for it
Gopal,5.0 out of 5 stars,Difficult to get anything better than an Apple,Had some issues around delivery but finally managed to get this. Have been a MacBook Air user so difficult for others to replicate its overall performance.
Kumar Sonu saini,5.0 out of 5 stars,A good product,Very good product
Dennis Nathaniel,5.0 out of 5 stars,Great quality as usual!!,"Great quality - takes some time getting used to, if you’ve been using windows pc/laptop!Premium product"
Ratan Lal Sundesha,5.0 out of 5 stars,Easy to access,"Finally got my dream Book 😍Totally value for money, easy to carry."
Debojit Chanda,5.0 out of 5 stars,Powerhouse laptop,Smooth laptop which runs without any hickup and best part is the transition between apps or browsers which runs seamlessly.. and as claimed by the apple the batter runs min of 10hours on a single charge. But only cons is its nt dat light weight as I was expecting it to be.
Advocate Kartik Khanna,4.0 out of 5 stars,Nice,"Just seems small and average camera, rest everything is amazing"
Kumar Sargam,5.0 out of 5 stars,Excellent Machine,It is truly a amazing experience using M1 Mac Air .. superb quality and superb performance of official and professional work music recording and editing videos
Vijay,5.0 out of 5 stars,Incredible,"Good for developers, students and video editors. Don't expect gaming for sure."
Aman Aggarwal,5.0 out of 5 stars,Beauty and a beast in one package,"sleek and beautiful as well as beast when we talk about processing stuff, used for videos ,lectures and for some programming stuff, not used for gaming though.But overall nice and fine."
Amazon Customer,5.0 out of 5 stars,One of the finest machine I have ever seen.,I have been using this machine for past four months and I love the way this piece works. I have installed all the developing softwares. The speed of this machine is immaculate. I have never shutdown this machine so far (only for the software updates).
Shantanu,5.0 out of 5 stars,Powerhouse,Best MacBook for everyday use
Ravi,5.0 out of 5 stars,Excellent machine,Apple has shown his great work in this MacBook with own chip hardware. Apple will change the performance benchmarks from this lineup. Look wise cannot be better than this. However it has sharp edges where paint will eroded first. Battery works with great efficiency in sync of M1 chip. All other things work fine as older generation.
PRAKASH SHINDE,5.0 out of 5 stars,AWESOME APPLE,Wonderful product
Anonymous,5.0 out of 5 stars,worth the price.,Overall experience is very good. Writing this review after usage of 15days. Look and feel are great.Sublime txt editor is crashing very often. Boots very fast and smooth. You may not be using any other laptop after using mac M1. Feels good in hands.
manu gupta,5.0 out of 5 stars,Worthy of a laptop,"Fast.Smooth.Intuitive.Doesn't heat up.Can last 1.5 days for light office use.Now to some cons -1. Battery life over video calls is 7hours approx2. Sometimes the hinge feels tight. While opening lid, the entire machine lifts up.And nothing else."
Harish,5.0 out of 5 stars,Excellent!,Apple products are always value of money !
Amrinder B.,5.0 out of 5 stars,This is perfect laptop for anything,"This is my 4th macbook, previous three were intel based processor. This one is best, it is fast and fan less. I love it."
Gireesha B.,5.0 out of 5 stars,Good,It is good and worth for money. It is not comparable to any one
RENJITH R,5.0 out of 5 stars,Excellent,Swift and perfect
Upendra,4.0 out of 5 stars,Great option in price range,"Macbook air provides good value compared to other laptops in this range (still expensive). But I received faulty Capslock key, will get it changed asap. Overall happy with the purchase. Will consider Thinkpad series for next buy. Do check them out as well"
Ravi Jain,5.0 out of 5 stars,Nice One. Value for money,Nice One. Value for money. Must buy
Martin,5.0 out of 5 stars,Awesome.,Good buy
Prashant,4.0 out of 5 stars,Faster than i5 slower than i7,The media could not be loaded.  Air 256GB GoldPros:Build qualityBattery lifeSecurityCons:Slower than i7 processorUseless GPUPriceFor programming:Good if you are not working on tensorflow or similar.
arun Kumar,5.0 out of 5 stars,Best laptop at this price.,"I am reviewing after using one month.Its battery life,screen quality,performance is best and very light weight laptop."
TUHIN BORGOHAIN,5.0 out of 5 stars,"Portable, robust, efficient","As advertised, the product is extremely well-built with a great screen and well-balanced, rich audio. An efficient chipset makes everyday work (and even light video editing) a breeze along with providing a robust battery life, making this a reliable machine."
Placeholder,5.0 out of 5 stars,BAD CAMERA QUALITY,"everything is good but web camera quality not good, so if you're buying for camera then this is not for you, go and buy a iphone."
Hemant,5.0 out of 5 stars,You cannot go wrong with an Apple.,Great product at good price.
rajani kant gautam,5.0 out of 5 stars,Nice and expensive,The media could not be loaded.  If you like Apple 🍎 go buy it.. could easily run for more than 5 years.. BTW I am not in picture
Rajesh Kumar,4.0 out of 5 stars,Amazing experience,
Rasika,5.0 out of 5 stars,Truly amazing experience being a first time apple user,Bought the apple macBook from amazon by exchanging old laptop. Being a first time apple product user i am simply enjoying my first macBook. Also i was a little hesitant for buying such an expensive laptop online but amazon did its job very well.
Gautam Kumar,4.0 out of 5 stars,Excellent,"Excellent, but some apps are still not compatible"
siva kethu,4.0 out of 5 stars,Perfect,Best laptop used till now
Amit A,5.0 out of 5 stars,Great budget laptop for everyday use.,"Very satisfied with my purchase. Awesome speed, sound and display. Very nice Internet speed and disk speed as well."
Gopal,5.0 out of 5 stars,Value for money,Nice quality
Sri Surya Kumar M,5.0 out of 5 stars,Amazing Perfomance,Amazing Performance Where the camera quality disappoints
Tara,2.0 out of 5 stars,Don't feel like Apple product,"Within a month of the use trackpad stopped working. At that time Apple care told me now it cannot be exchanged/replaced as the replacement window is over. I left with only choice of getting the hardware replaced. Now again within a year same issue, the trackpad has stopped working. Even worst I need to pay for new part this time as the warranty has expired. I bought this for my daughter's study and uage is very minimal. It doesn't seem like using apple product. Feel like cheated!!"
Rakesh Tirkey,5.0 out of 5 stars,MacBook M1,Nice Experience
kk,5.0 out of 5 stars,Powerful machine,"Very powerful, capable and well built machine. Would be even better with 16GB RAM and 512 GB SSD in the base variant. battery life on this is amazing (>12 hours)."
Ranjeet Kumar,5.0 out of 5 stars,Thnx to Amazon services and gratitude to Apple for discovering M1 chip,Never b4 experience upgrading from windows to Mac. Better late than never it is worth every penny I spent.... Thnx to Amazon services and gratitude to Apple for discovering M1 chip
danish rafiq,5.0 out of 5 stars,Perfecto,"Small and compact design. The speakers are great, with excellent bass and surround. The display is incredible, thanks to the retina by Apple. Battery backup is awesome on the new M1 chip. 2~3 drop during the cold nights. Overall it's a must-buy for someone looking for a compact, powerful, efficient, and gorgeous display, with huge speakers."
Viraat Mathur,5.0 out of 5 stars,Worthy Product!,Great performance and value for money product.Got in 91k with exchange (512 GB Model).Go with MBA 512 instead of MBP 256 Gb.
Ratnakar,5.0 out of 5 stars,Nice product,Worthy of penny
Ashwini Vatsa,5.0 out of 5 stars,Amazing,"Been Using it for 2 weeks now and there is nothing bad I can say about it. Coming from a low end laptop, this laptop blows me away everytime. It's amazing. The Battery Life is so goood. Works for 10 hours straight in a day."
Jatin,5.0 out of 5 stars,Nice Product,Value for Money bought it in exchange my 5 yrs old MacBook Air.
Sreetama,5.0 out of 5 stars,Apple MacBook ❤️,The media could not be loaded.  Very light weight and smooth finish. Loving every bit. Wonderful sound quality and awesome features. Apple is love
Rohit Nagpal,5.0 out of 5 stars,Very good laptop. Fastest delivery,The best value for money laptop
NEERAJ SINGH,5.0 out of 5 stars,Awesome laptop,Great product for medium to high intense usage. I am using for software development. Runs all IDES very smoothly. Compact size is very portable. And M1 chip battery goes more than a day sometimes.Great product.
Abdulla Ansari,5.0 out of 5 stars,Apple is Awesome,Awesome product ever used this sometimes it lags due to heavy app size but still works smoothly
Placeholder,5.0 out of 5 stars,Best value for money packed with a superior performance boost.,Definitely a good choice for a first macbook purchase.
Sanket Dalvi,5.0 out of 5 stars,MacBook Air got huge discount,Best laptop from editing and day to day task with good battery life
juhi kushwaha,5.0 out of 5 stars,Luxury and a brand,Amazon delivery and trust is great. Bought this without second thoughts.
ravi saurav,5.0 out of 5 stars,Good Buy,Great screenNo issues yet
Prashanth Thipparthi,5.0 out of 5 stars,Loved it,"If you want purchase good laptop, go for it."
shyam,5.0 out of 5 stars,Loved it,"Loved it, just go for it. You will not regret."
Tripti Naithani,5.0 out of 5 stars,my first apple laptop😌,i like this better than pro. its travel friendly.
Washim Akram,5.0 out of 5 stars,Best of everytime.,Except it ports..i like everything about it.
Naresh Pal,5.0 out of 5 stars,Nice MacBook Air with M1 chip is awasome,It is a good work experience in Mac Air M1. It's super fast.
Abhishek Dixit,5.0 out of 5 stars,Perfection!!,The best laptop under 90000 even in March 2022. Period.
Varun Sharma,5.0 out of 5 stars,way beyond times,i must say it is more than enough for non heavy programmers...runs whole day without any heat or hang issues....can take whatever you can throw at it...
deepak,3.0 out of 5 stars,Speakers are not up to the mark on my laptop!!!,All the things about this laptop is good except for the sound quality on some songs that I have played on YouTube.Can anyone please play tu aake dekh le by king official video on YouTube at full volume and please tell me if you are hearing any crackling sound at the beginning??
User,5.0 out of 5 stars,"Smooth, fast and lightweight",This is my first ever apple product. I can say it is really fast.I bought this for my personal use as well as software related task too.You should go for it or wait for next version to be released this year.
Swayansiddha Mohapatra,5.0 out of 5 stars,Excellent,Very good product.
Valli,5.0 out of 5 stars,Very good,Very nice product
deepen,5.0 out of 5 stars,Best laptop i have ever used.,"It takes a lot to get a ""Best God-damn laptop"" from GeekyRanjit. And this MAc with M1 is the best i have ever used!lightening fast and consistent every single time. been 5 months now and works like a charm without any hiccups."
Akash maurya,5.0 out of 5 stars,Would you consider this review😆,Extremely powerful and where ahead from its Windows competitor in this range
